subset,model,scope,alignment,queries,eligible_flip_queries,ndcg,mrr,hit,ndcg_drop,correct_pair_flip_rate
theoremqa_theorems,LambdaLoss,candidates,0.95,76,15,0.2929783175711323,0.2920734453320802,0.516858552631579,-0.00047907186752030794,0.027083333333333334
theoremqa_theorems,LambdaLoss,candidates,0.9,76,15,0.2901555067156688,0.2871296078738513,0.5152138157894737,0.0023437389879431406,0.08125
theoremqa_theorems,LambdaLoss,candidates,0.8,76,15,0.285652006446639,0.2805399729793233,0.5094572368421053,0.006847239256972976,0.12083333333333333
theoremqa_theorems,LambdaLoss,candidates,0.7,76,15,0.2767390084424518,0.27186757584064325,0.49136513157894735,0.015760237261160142,0.17604166666666668
theoremqa_theorems,RELER,candidates,1.0,76,17,0.29082277553523367,0.2957706766917293,0.5,0.0,0.0
theoremqa_theorems,RELER,candidates,0.99,76,17,0.2884231768271325,0.2923700853696742,0.49712171052631576,0.002399598708101202,0.017463235294117647
theoremqa_theorems,RELER,candidates,0.95,76,17,0.28937728364152254,0.29161176052109444,0.49979440789473684,0.0014454918937111304,0.029411764705882353
theoremqa_theorems,RELER,candidates,0.9,76,17,0.28930156938868956,0.2913580337562657,0.4979440789473684,0.0015212061465441108,0.03768382352941176
theoremqa_theorems,RELER,candidates,0.8,76,17,0.2891458937690005,0.290015403091061,0.5043174342105263,0.0016768817662331306,0.07536764705882353
theoremqa_theorems,RELER,candidates,0.7,76,17,0.2849920793073481,0.28373513536445283,0.5028782894736842,0.005830696227885557,0.09650735294117647
theoremqa_theorems,Listwise,candidates,1.0,76,16,0.2890729813130125,0.29255952380952377,0.4868421052631579,0.0,0.0
theoremqa_theorems,Listwise,candidates,0.99,76,16,0.28910216077704387,0.29004722091687557,0.4928042763157895,-2.9179464031375617e-05,0.021484375
theoremqa_theorems,Listwise,candidates,0.95,76,16,0.2880753192773593,0.2878135279605263,0.4903371710526316,0.0009976620356532031,0.048828125
theoremqa_theorems,Listwise,candidates,0.9,76,16,0.2865976770873767,0.28554328529657474,0.49198190789473684,0.0024753042256357755,0.0712890625
theoremqa_theorems,Listwise,candidates,0.8,76,16,0.2851429359083431,0.2821766329887218,0.49835526315789475,0.003930045404669384,0.09375
theoremqa_theorems,Listwise,candidates,0.7,76,16,0.2799548209984409,0.2765333744517544,0.4942434210526316,0.00911816031457166,0.1162109375
